,countryname,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
62,Albania,63,70.63824369133258,56.4008354604645,73.66593618899901,51.57133606315498,64.03896481542246,61.37984144259776,60.80219539753423,33.83672208498903,25.711748683852527,55.49763930853368,58.99974744829296,51.21471824173931,76.50171724938706,62.16967657955261,71.47189925569651,63.63178726601715,21.83224242994673,56.228701648055484,UMI,sou_eu
63,"Macedonia, FYR",64,70.47477739231692,69.81202517776762,77.63326587506172,56.04692150756151,65.9566132510615,63.496721157494505,62.97527123967504,32.780398310409105,28.39383805632276,50.55759185191835,62.71888340739426,50.671159019261474,47.29677097254237,52.46124488327175,67.65566346603298,71.68264795548335,27.742772828278202,57.48907348388364,UMI,sou_eu
64,Jamaica,65,70.25076809978391,54.98341139884864,71.71413930100796,53.20629345398379,50.56506652337148,56.36668764166336,64.43288236726463,34.564650692830654,25.316097277799653,44.777786540361944,62.83770574682595,54.138776274831834,57.39924712522331,34.40569825090479,52.659118316896446,62.974157168468466,27.22923177365604,51.939436345865126,UMI,lat_cab
65,Dominican Republic,66,69.87540125128459,59.16299219864455,60.79017894575788,51.57619751753006,51.25015860323525,51.656978705976485,72.33567232771776,41.16795536324418,23.975455411300903,41.33908889231896,57.2188116253294,50.4763444998263,52.28239904145275,45.91940068469919,64.72202631824683,53.26225111492043,20.203807666081094,50.69676681315349,UMI,lat_cab
66,Suriname,67,69.85118396727012,62.52858950133643,68.7355137468338,54.08826728943267,51.74699166739698,55.941397485978904,69.09622157586304,40.86337696412787,20.759265970693473,36.17845931966621,58.12897762084115,48.1093232942215,76.56049832087075,54.45519324227939,71.47035951436924,63.68853299771011,27.88250092598597,54.468494089702865,UMI,lat_cab
67,Morocco,68,69.39105687010817,60.5468133680338,66.27201003215181,51.56616924969234,37.827365939215255,49.490825475214855,71.22439908027891,40.293476722706,30.55631165882687,48.037164311962954,59.918091698958726,60.920835247483495,57.49732869229253,59.800378019024265,64.83867039930048,68.41718205162171,30.41388954817403,54.48699584554072,LMI,north_af
68,"Korea, Rep.",69,69.3,82.94360889597964,82.49535996217556,74.8658602649767,31.788247092376697,66.11317454156557,70.24645110347429,62.13258127502135,79.57081673667312,81.2867257863903,63.288145680453624,91.3927315836034,40.23814904222443,35.41898589724237,56.408994453511205,74.2264835022763,36.52887860318156,66.93711486823834,HI,east_as
69,Spain,70,69.3,67.32794989627966,87.16002238016682,76.09396342643134,61.93891636742959,67.43282911103812,70.50966130314065,34.44751141451457,52.17355464258675,62.656629583392565,83.52603495606179,71.17210335396562,50.58047959323791,48.92647984093321,59.25932825138549,74.88601264515627,36.57921206968408,64.85424679894554,HI,sou_eu
70,Thailand,71,69.26367417005852,63.50500414720287,67.34692270006427,58.661685409205006,44.51975097767288,63.19165330321815,66.15755417910859,50.60686379029122,29.307260913332303,47.67302154448837,52.17884221487703,54.59505641031077,70.85100724589782,48.790656037695555,74.09906498613675,63.31738835850378,26.14893523831179,55.65969145193486,UMI,southeast_as
71,"Iran, Islamic Rep.",72,69.25156556007803,61.21946843536361,66.90476878682902,60.040102342192824,36.22082713435593,61.91644643909438,67.63150678408729,40.61884596907856,21.03742117428393,48.13957484509885,53.58505914719501,53.904932261582985,60.103265893325954,47.21302280137475,68.55625742691244,59.80193997952171,18.15555746063548,52.48669649395736,UMI,south_as
