Country,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_trophic,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_scarcew,sdg6_wastewat,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy
Equatorial Guinea,,,,,26.2,3.1,8.0,,,,,342.0,30.9,89.6,191.0,3.45,22.0,178.0,20.8,59.5,157.8528,68.3,25.0,52.236,,,,,43.34419,24.04622,98.2,,,,,,,20.5,54.794520547945204,90.26406555622489,20.0,,,49.5900848781192,74.5379493854517,0.1,2.0757027071492913,1.25,,,67.889289855957,34.39,,,-11.125147557025919,6.363696550120129,,7.57600021362305,,,,26.2399999569409,0.033604457,1.875,0.0,0.006058174852024986,,,,,,,,,53.241,48.05204561903338,,,,,0.9052031971344535,0.7315934589667745,,,,5.37049013909242,,,,99.99776,57.83,13.74,23.160198400000002,99.99671,,0.81288,0.23949327811909873,,2.3052338071906404,,,,53.5,16.0,27.8,0.0,66.47,,,,26.707210858435847,0,
Greece,1.41,2.44,14.399999999999999,2.5,2.58,0.7,24.9,4.1448,0.6971700469508307,51.66486471128668,2.37047100569614,3.0,3.0,5.3,4.1,0.09,12.4,28.0,8.1,81.2,7.4862,,97.0,90.882,5.4092894610650095,2.4000000000000057,6.5,27.3,92.90618,90.09265,98.81486,88.50884246826172,42.479965,458.6666666666667,12.542764174554428,32.70113773301127,18.07205873220521,62.0,95.45454545454545,75.2417492896009,18.7,4.5,157.0,100.0,98.963963960248,19.72,8.041036299904398,81.07843,98.8957731329526,75.2471426708128,100.0,94.29,1.3099259220171944,17.170047546133,-2.256856884240658,7.913680102008125,85.4665222167969,21.0729999542236,0.938580753721495,53.5,22.752119,69.89,63.39674651,3.172495,35.916666666666664,0.9590193456271601,1.00699996948242,7.20126964533692,2.6627859295048943,40.01780000000001,,44.928112626075745,1.29,7.8,16.218,100.0,57.02788619262742,25.6,2.0,17.5,45.293676107711505,16.823784684686537,56.91384186113355,215.0103841542082,1.132758030478335,5.400709388543128,1.5396545007146933,39.59959471813597,22.59,68.53211,61.27,48.5588728307588,21.751505,73.17227,88.35441,0.84811,0.0001540945839296011,7.604410418141803,0.7503513386151756,0.29592050209205023,57.49104964120219,4.0144023896666665,100.0,45.0,0.0,0.26882267228912277,29.19,85.39712853763189,8.161,0.156248,,0,57.87500000000001
Grenada,,,,,,,21.3,1.0067000000000002,,,2.36865026863667,27.0,10.9,16.7,3.2,0.058,21.4,45.0,6.6,73.4,30.4132,99.3,85.0,67.69,,,,,95.16711,89.87486,99.2,,,,,,,79.7,,,46.7,,,95.6286504435547,78.3022564691122,7.05,12.339404604871081,,,,92.344367980957,96.58,,,0.8518698138552285,,,,,,,59.071735362999,89.17876188,,0.0,0.31961385428217337,,,,,,,,,22.723,,,,2.71,7.8,,-0.690677417870457,,,,2.3854561719019354,,0.0,,78.11475,55.54,,,42.65637,,0.76124,0.08471896915217927,,10.249319352019393,0.1925601750547046,,,,52.0,,0.0,,,,,20.41091642852238,0,
Guatemala,7.34,21.25,,15.8,46.5,0.7,21.2,2.1523000000000003,1.0473732433441056,,2.21796692323228,88.0,12.9,27.6,25.0,0.14,14.9,74.0,19.9,73.2,72.4582,65.5,82.0,61.83,6.626591645206985,,,,85.59282,62.63609,94.35425,,,,,,,65.6,98.46153846153847,47.79167163962125,12.7,,,93.5976974703343,67.3629203513917,3.76,6.428076581488822,8.0,,,91.7792282104492,45.23,1.3342314010878236,,-2.9344204487563705,2.921535166679256,44.1070098876953,2.66700005531311,0.13126078361266122,,,40.7030490813888,16.45430873,2.19619,0.0,0.005131925770523074,0.0298800002783537,,,,,55.813321471214294,,,24.071,90.54139410547731,73.36709652403249,,2.0,4.0,5.1866238242288745,1.1677850324789643,7.984767803497396,-84.72676048260347,,0.9106002248519203,0.19450544375526602,91.46855691090151,,13.01449,32.11,18.1,30.8733814,30.75366,49.63446,0.72012,0.5242014684752847,1.9930576590766795,27.255019075076326,0.5025097943192948,55.57677755023596,3.9363740283333333,96.4,27.0,25.8,0.0,36.17,,4.7863076,,11.006209793883874,0,
Guyana,5.19,11.9,,7.5,12.0,6.4,20.2,3.516,,,2.37696615310326,229.0,18.9,31.3,86.0,0.62,30.5,108.0,15.3,66.2,86.6694,85.7,97.0,60.964,5.992826472942039,,,,91.5049,78.85096,96.68967,,,,,,,52.5,100.0,54.79764454575079,31.9,,,95.0713229920073,86.164053044025,0.86,4.442961305629164,0.0,,,84.2429046630859,74.48,,,-1.517563445340131,2.5864344830595374,,11.9230003356934,12.37281597093855,,,37.3258367878094,26.29512547,2.089314,0.0,0.017716212144528082,,,,,,,,,22.376,86.31798680367353,71.77366573147526,,5.33,6.1,,-2.9594076177189055,,,,2.5863083422668733,,0.022298045134686587,,,74.49,35.13,54.756899999999995,,,0.92194,0.031956070871673806,140.20946096721897,18.37077607990408,0.3768768768768769,46.69141274626662,3.5666959569359413,88.7,37.0,18.3,0.0,26.25,,2.3105444,,,0,
Honduras,17.6,31.11,,15.3,22.7,1.4,21.4,1.7481,1.0888263371188958,,2.28317899480748,129.0,10.0,18.2,38.0,0.1,14.0,61.0,16.5,75.2,72.1834,82.8,97.0,62.708,5.90842377594107,,,,83.32061,47.45225,96.12654,,,,,,,76.0,101.53846153846153,59.468959633417086,21.1,,,92.1787210188606,79.7764469724492,2.49,6.348310861039103,1.78,,,87.5766296386719,53.1,1.0701240126144371,,-3.286815434399881,3.3854099855503548,45.3429718017578,4.37900018692017,0.20772984942362074,,,32.1363636363611,24.47023859,2.473403,0.0,0.0036212533333362597,0.0150600001215935,,,,,53.53569984436035,,,20.629,96.01231334382436,60.67274675708071,,1.45,2.3,7.631448045857162,0.7408127575572643,11.384366013566959,-76.07417544072256,,1.0929600969705802,0.2146953173450794,0.004415732111392819,,66.15448,58.47,21.7078292170783,18.283314100000002,65.02889,,0.74232,0.4299726029024241,2.6131351716324662,56.51570309112144,0.5349262604321482,58.80833205441327,3.7904524803333337,93.6,29.0,14.1,0.0,45.23,,9.35872765,,23.36315517135297,0,
Croatia,0.64,1.21,,2.5,2.58,0.7,24.4,6.7423,0.6734159712689088,,2.41468740225891,8.0,2.9,4.6,10.0,0.01,16.7,35.0,9.2,78.3,9.3744,99.9,89.0,87.225,5.536271321756446,,,,87.45562,91.59296,99.72363,,,,,,,61.5,95.72649572649573,79.14270543996179,18.5,,,99.5859008888889,97.4661284549188,0.98,5.619569107386043,29.0376,,,100.0,92.7,1.425357795231602,,0.14532742662319437,5.992110893607282,86.1434555053711,9.09899997711182,0.5324211043371156,,,67.0961920368478,79.65585617,3.01282,26.075,0.9626738408336528,0.856209993362427,,,,,38.204774260520935,,,17.902,99.57222222222218,47.83421767238083,,0.29,12.6,16.937825866483337,11.690311817432075,23.194524921498047,53.49323457176578,,3.9874064413228223,0.2574403063492676,177.6100583204835,,76.95433,63.71,7.03929607039296,17.8888883,72.03933,80.23577,0.89932,0.0,7.902681864691659,1.0446344771732645,0.24774774774774774,75.06329936022718,3.6891270476666667,,48.0,,0.07161010303977726,28.94,,10.41838902,,,0,
Haiti,22.96,47.59,,45.8,21.9,5.2,22.7,1.0127000000000002,,,2.12319121122228,359.0,28.3,71.7,181.0,0.73,26.5,184.0,15.3,63.5,38.213,41.7,53.0,47.22,3.614927963168967,,,,,,72.34672,,,,,,,44.0,65.15151515151516,88.0439268813893,2.5,,,64.1743189771298,30.5437907368745,15.64,6.102006243673899,0.0,,,38.6901664733887,4.34,3.2687501273301414,,-5.779211370512305,5.551376006199412,32.6211853027344,13.871000289917,0.019909762543905432,,,12.3261035817213,28.21294411,1.944633,0.0,0.0027748753749077884,0.0,,,,,40.89030623435974,,,15.02,25.02068699926713,30.048927023528844,,1.0,,,-0.6906774178704571,8.987486624731682,-18.730383281115667,,0.26273736938495673,0.05394275869814405,0.0,,0.0,37.32,11.98,,10.45209,0.0,0.71933,0.2618282879763437,0.2641926077368007,10.039643471170283,0.7085822922324824,49.49047856562848,2.537710746,79.7,20.0,24.4,0.0,26.82,,3.89059027,,,0,
Hungary,0.48,0.76,10.100000000000001,2.5,2.58,0.7,26.4,5.0992,0.49662945996179103,64.40058568961982,2.38058803931368,17.0,2.4,4.5,7.4,0.03,23.0,39.0,7.5,76.0,19.8054,99.2,99.0,84.181,6.065038605025039,3.0,18.900000000000006,25.8,91.39128,93.44505,98.8,91.48462677001953,30.162258,474.6666666666667,21.397121724889804,26.007810637782065,19.322867657835772,75.6,96.69421487603306,74.96321029924071,12.6,9.4,141.00000000000003,99.9712522740424,97.9895314811073,8.2,3.1749219846382695,54.57,81.5417747831721,75.6393196695429,100.0,100.0,1.4844010479844234,15.559362050795,-0.15476348693218983,3.6698399698716155,74.9449691772461,3.6489999294281,0.41872149430288963,68.175,14.015918,76.7505471201922,63.19478182,3.270945,32.916666666666664,0.6364627452033833,1.20606005191803,5.83570777406104,3.403674905521046,50.219899999999996,29.1934096473235,36.16085648536682,1.02,8.6,15.926,99.99999999999999,64.21171669489074,10.18,1.92,13.8,8.598956100525694,7.437801108468346,26.17529284821325,-103.34902071689532,0.7658787890040172,4.675349761787854,-0.3031264756006813,197.1800525799177,5.88,,,,,82.8957,84.90562,0.92881,0.0,3.4198569431871677,2.071499337889333,0.20511949258126627,63.5477947397362,3.5457644459999997,100.0,46.0,0.0,0.42174305582057364,29.11,181.081857962623,7.991,0.110806,,0,54.699999999999996
Indonesia,4.37,23.67,,7.7,36.4,13.5,6.9,5.4055,0.8120210958848257,,2.17956379223399,126.0,12.4,25.4,319.0,0.19,26.4,112.0,15.5,69.3,47.9942,92.6,75.0,61.768,5.3402958097882784,,,,91.91315,90.38364,99.66881,,,,,,,77.9,89.28571428571428,62.09794336593477,19.8,,,89.5240304134351,67.8866081615617,9.24,1.5227560611876096,0.025,,,97.62,58.37,2.0542680022781137,,-0.05849502637041426,4.726287326400066,48.8574523925781,4.32100009918213,0.14576694294447567,,,32.2924418958799,98.30358135,2.895,22.166666666666668,0.029598784071977722,0.0847000032663345,,,,,50.6585031747818,,,16.503,25.32342360660073,79.12841158272704,,0.52,4.9,4.503339678883911,0.06791903649346898,14.625423634161649,7.2330954925640025,,1.6850783432750913,0.15392162284768363,3677.849950901298,,27.66412,55.77,21.6948886497012,36.8727556,23.48378,39.2998,0.75804,1.2688874869088944,1.2880960878206216,0.495067928676664,0.3519131778048672,79.25934879062773,4.592263698666667,72.5,38.0,6.9,0.03712242436522899,39.68,,4.86219913,,12.468750405984816,0,
India,2.92,27.38,,14.8,38.4,21.0,3.9,2.9928000000000003,0.9758642360870853,,2.20797627947386,174.0,24.0,39.4,204.0,0.1,23.3,184.0,21.2,68.8,24.5354,85.7,88.0,56.786,4.046111091806846,,,,92.25011,85.88366,86.14488,,,,,,,72.0,58.53658536585367,34.226825660801225,11.8,,,87.5591401561859,44.1511227474094,44.53,0.161331428676494,2.2464,,,84.5268173217773,41.04,1.573794629397727,,1.020651610960116,6.103056667732271,79.8753280639648,3.53399991989136,0.12128541177905446,,,34.45,25.76304606,2.905174,43.349999999999994,0.08331217834213925,0.62364000082016,,,,,45.619967579841614,,,90.873,68.65017740174653,74.44229101939146,,0.34,1.5,6.19268594436207,-0.3698251399138908,12.903511853959635,-8.71361574043339,,1.7218315387299943,0.055333589212876344,2.119551982669843,,29.01888,22.7,12.4412441244124,10.2031356,26.0998,15.2185,0.67845,0.019853328003313554,0.294417542559995,3.2236994089426676,0.672212914926017,73.14430637362904,4.377953052666666,71.9,41.0,11.8,0.0028375570420931134,43.24,,4.70946589,,,0,
Ireland,0.16,0.21,9.8,2.5,2.58,0.7,25.3,8.2233,0.4415781921619055,74.53293843890604,2.39540946833022,8.0,2.2,3.5,7.3,0.123,10.3,12.0,4.0,81.5,10.1352,99.7,92.0,94.483,6.962335544306006,0.09999999999999432,19.89999999999999,18.0,95.87164,99.40218,,97.9337387084961,53.473541,509.3333333333333,12.669611439268147,15.33122107257747,29.58844247895437,80.2,104.95867768595042,79.00023191805384,22.2,10.6,166.90000000000003,98.9216390946667,92.1779516646465,2.38,10.34084563584548,44.418114,98.8752877857429,70.267085721812,100.0,100.0,1.327256346014225,9.08139901337063,7.165550071774282,1.6679994861837193,95.3404541015625,5.97900009155273,1.626392284470387,67.65,13.105398,84.5153886280647,101.9688524,3.293335,53.9,1.4461039364987205,1.17681002616882,12.8543841208536,22.147283029939533,25.363,23.380736137667306,32.90829360485077,1.1,6.4,8.209,98.83833731926222,56.225407044963916,11.11,3.58,19.9,10.910830969823117,21.970266642012078,46.70998204838364,-199.7840758633358,1.0179245383611888,7.807742487534061,-3.3669831066709612,69.21324768183665,21.75,86.22806,61.91,21.5778422157784,85.8688326,89.93309,97.70653,0.91578,7.975876047632038e-05,14.283691486215638,0.8020795982104674,0.17195909580193758,77.7551646721342,5.934766610666666,100.0,73.0,0.0,0.4095213073936237,14.59,78.43494176184466,8.414,0.3174,,4,50.650000000000006
"Iran, Islamic Rep.",0.14,3.2,,4.9,6.8,4.0,25.8,2.1664,0.8610303173744164,,2.13996051668895,25.0,9.1,14.9,14.0,0.06,14.8,51.0,28.0,75.7,25.7152,99.0,99.0,76.705,4.27811787793011,,,,98.59657,94.37617,98.10135,,,,,,,68.6,97.97979797979797,23.3034836873967,5.9,,,94.8661997321043,88.2898219273923,90.0,18.809366137837568,3.73,,,100.0,98.49,2.088146189502249,,-0.3865515304837974,16.240337308690144,93.9819183349609,12.3690004348755,0.25576822592348564,,,60.4163561527179,68.18563453,2.766704,37.766666666666666,0.5104112204491653,0.252669990062714,,,,,40.01828730106354,,,38.979,94.79528055931917,66.80154578294828,,0.16,7.8,22.411363824758013,-1.5197514862418933,27.69213752570747,,,7.685846636740778,-0.4280196245685506,,,67.04636,66.23,20.3135017424638,5.1048991,48.61761,40.38549,0.83342,1.1169039468749287e-06,1.3238646326113268,2.4690384365518083,0.25108144523632236,70.98871801944992,3.7156896593333335,98.6,28.0,11.4,0.021931232820636967,60.71,,6.85187959,,25.37622815846789,0,
