,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
19,Croatia,20,85.33019219618694,64.88524391299845,80.62926257424795,59.67933543199389,56.22710175432084,66.44931791201793,76.46321789443283,62.244029921740136,41.80636130456466,78.53150240004099,79.22237647541453,68.3512096160149,70.12907980635282,78.04083923247785,86.38532165076228,78.25543499291783,50.637806091759316,68.61212553005815,UMI,sou_eu
20,New Zealand,21,84.35185537102873,62.77934368411847,89.94921094171787,71.55574380936443,62.4984337767242,74.76319464659694,83.66071203099814,70.25629022097856,50.72675663656273,72.70823133333668,79.99110589600002,57.820783299840386,64.6437464222454,61.26335006367879,60.92932424366038,90.12805844738108,46.59513038762818,71.00348555824009,HI,oceania
21,Cyprus,22,84.15085392130209,57.1008406901483,87.08259143248674,68.85981793678106,52.99076590419744,65.39408159456481,77.89397162320464,56.162510912731754,44.860350829985194,82.14020201781672,78.36588496553898,53.063778896482724,69.93071592958134,39.728343213996936,86.78238517352929,83.72988072982888,32.45346804156795,66.63505532915498,HI,west_as
22,Luxembourg,23,83.76722542136308,67.29919688531956,91.96642263677059,62.88598949014969,60.24853742951668,81.21977337631948,64.4564851054526,61.21155390582252,44.03987725093598,85.12315863702794,79.77328635681454,30.20852408421219,65.50334958923025,49.87583446032526,77.62903295989882,89.68642376455172,47.333951158765196,68.36292597649017,HI,wes_eu
23,United Kingdom,24,83.6962366375373,70.93869440691726,88.47583225835857,78.88623418506148,54.20205097980014,82.88937489302269,75.74937486417248,66.7279986143781,62.91207327486311,68.82398839974503,83.2492090153616,52.096474877072964,69.11205611232099,62.52645603525657,85.9976045778023,87.09034614276774,35.350030454539876,72.72599630900305,HI,nor_eu
24,Australia,25,80.73749763631524,58.27756362309391,93.43779827917524,74.45789227651231,54.70850779855289,77.39504984137132,75.51454649727685,66.07253401296775,63.98447027343607,67.09643581009836,79.27165586957682,53.12032481095865,52.34218115329448,61.0505837366302,69.07345371493734,86.42856652321049,53.33866477015461,70.98359133887377,HI,oceania
25,Russian Federation,26,80.24712207463631,60.770026990865894,75.16739340656244,55.840989201413784,49.618298102377736,67.8250488154094,77.44445859157187,54.56330739243607,39.60317998072264,66.35583831656281,79.33438823919089,68.08974222595646,63.42353832994119,47.65637922583103,69.316951880639,66.49924917000533,42.42436906005342,62.252203078744195,UMI,east_eu
27,Albania,28,80.210784454841,51.48248152353946,77.5350590330382,62.31907201523788,64.17388092234971,63.45197735987275,74.27648521170066,48.36466121314927,30.55007576059041,73.37143648699985,76.8622522766293,71.13888896285835,70.65372640277162,59.55346949902538,85.88909826444879,72.19320494211053,44.65494760351114,64.07326474506063,UMI,sou_eu
28,Thailand,29,80.10135989879824,60.61138646599159,75.63410731853085,55.113586184906815,42.18182149953254,59.20516190436879,71.4818518143741,63.0419060434753,36.88503224924875,65.81022517189841,83.02014760612002,68.6216624394622,68.53583309547368,59.64872447160117,74.15081809496101,73.87618661328737,45.616724570762315,63.18717426211232,UMI,southeast_as
29,Canada,30,80.02237002242482,65.04111254063739,86.65111667077022,85.22909029423752,57.64248186141047,73.2120128190369,80.6266550527306,65.92340490664195,58.20237121636867,79.86341618762644,82.81979027565612,50.90915045172853,58.92038943505017,63.09014145233546,67.70549665286111,89.30845789846964,53.82544096409818,71.84513620165501,HI,north_am
